zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
773,18.34073,-65.72756,Luquillo,PR,Puerto Rico,TRUE,,17917,287,72089,Luquillo,"{""72089"": 100}",Luquillo,72089,FALSE,FALSE,America/Puerto_Rico
775,18.31387,-65.28618,Culebra,PR,Puerto Rico,TRUE,,1293,42.9,72049,Culebra,"{""72049"": 100}",Culebra,72049,FALSE,FALSE,America/Puerto_Rico
777,18.22365,-65.90904,Juncos,PR,Puerto Rico,TRUE,,38267,550.2,72077,Juncos,"{""72077"": 98.49, ""72129"": 0.82, ""72085"": 0.43, ""72029"": 0.14, ""72063"": 0.12}",Juncos|San Lorenzo|Las Piedras|Canóvanas|Gurabo,72077|72129|72085|72029|72063,FALSE,FALSE,America/Puerto_Rico
778,18.26319,-65.97938,Gurabo,PR,Puerto Rico,TRUE,,41026,536.5,72063,Gurabo,"{""72063"": 94.08, ""72129"": 5.92}",Gurabo|San Lorenzo,72063|72129,FALSE,FALSE,America/Puerto_Rico
780,18.09998,-66.57032,Coto Laurel,PR,Puerto Rico,TRUE,,12975,261.8,72113,Ponce,"{""72113"": 98.13, ""72075"": 1.87}",Ponce|Juana Díaz,72113|72075,FALSE,FALSE,America/Puerto_Rico
782,18.22501,-66.22452,Comerio,PR,Puerto Rico,TRUE,,18664,257.6,72045,Comerío,"{""72045"": 97.39, ""72019"": 2.61}",Comerío|Barranquitas,72045|72019,FALSE,FALSE,America/Puerto_Rico
783,18.30348,-66.32851,Corozal,PR,Puerto Rico,TRUE,,34329,314.7,72047,Corozal,"{""72047"": 99.06, ""72019"": 0.94}",Corozal|Barranquitas,72047|72019,FALSE,FALSE,America/Puerto_Rico
784,18.00558,-66.13651,Guayama,PR,Puerto Rico,TRUE,,36965,213.8,72057,Guayama,"{""72057"": 97.29, ""72035"": 1.53, ""72109"": 1.18}",Guayama|Cayey|Patillas,72057|72035|72109,FALSE,FALSE,America/Puerto_Rico
786,18.1357,-66.22881,La Plata,PR,Puerto Rico,TRUE,,151,33.1,72009,Aibonito,"{""72009"": 100}",Aibonito,72009,FALSE,FALSE,America/Puerto_Rico
791,18.14391,-65.81398,Humacao,PR,Puerto Rico,TRUE,,47335,428.7,72069,Humacao,"{""72069"": 97.88, ""72085"": 1.16, ""72151"": 0.96}",Humacao|Las Piedras|Yabucoa,72069|72085|72151,FALSE,FALSE,America/Puerto_Rico
794,18.19934,-66.31179,Barranquitas,PR,Puerto Rico,TRUE,,28432,319.9,72019,Barranquitas,"{""72019"": 96.51, ""72043"": 3.49}",Barranquitas|Coamo,72019|72043,FALSE,FALSE,America/Puerto_Rico
795,18.05128,-66.49485,Juana Diaz,PR,Puerto Rico,TRUE,,44055,284.7,72075,Juana Díaz,"{""72075"": 100}",Juana Díaz,72075,FALSE,FALSE,America/Puerto_Rico
802,18.34349,-64.9287,St Thomas,VI,Virgin Islands,TRUE,,,,78030,St. Thomas,"{""78030"": 100}",St. Thomas,78030,FALSE,FALSE,America/St_Thomas
820,17.7388,-64.70695,Christiansted,VI,Virgin Islands,TRUE,,,,78010,St. Croix,"{""78010"": 100}",St. Croix,78010,FALSE,FALSE,America/St_Thomas
830,18.33857,-64.73802,St John,VI,Virgin Islands,TRUE,,,,78020,St. John,"{""78020"": 100}",St. John,78020,FALSE,FALSE,America/St_Thomas
840,17.72649,-64.84717,Frederiksted,VI,Virgin Islands,TRUE,,,,78010,St. Croix,"{""78010"": 100}",St. Croix,78010,FALSE,FALSE,America/St_Thomas
850,17.72763,-64.79122,Kingshill,VI,Virgin Islands,TRUE,,,,78010,St. Croix,"{""78010"": 100}",St. Croix,78010,FALSE,FALSE,America/St_Thomas
851,17.74757,-64.78737,Kingshill,VI,Virgin Islands,TRUE,,,,78010,St. Croix,"{""78010"": 100}",St. Croix,78010,FALSE,FALSE,America/St_Thomas
901,18.46478,-66.10277,San Juan,PR,Puerto Rico,TRUE,,8098,3081.3,72127,San Juan,"{""72127"": 100}",San Juan,72127,FALSE,FALSE,America/Puerto_Rico
906,18.46446,-66.09499,San Juan,PR,Puerto Rico,TRUE,,171,20734.8,72127,San Juan,"{""72127"": 100}",San Juan,72127,FALSE,FALSE,America/Puerto_Rico
907,18.45287,-66.08381,San Juan,PR,Puerto Rico,TRUE,,16620,3140.8,72127,San Juan,"{""72127"": 100}",San Juan,72127,FALSE,FALSE,America/Puerto_Rico
909,18.44131,-66.06866,San Juan,PR,Puerto Rico,TRUE,,5007,2961.1,72127,San Juan,"{""72127"": 100}",San Juan,72127,FALSE,FALSE,America/Puerto_Rico
911,18.45133,-66.05636,San Juan,PR,Puerto Rico,TRUE,,7347,5961,72127,San Juan,"{""72127"": 100}",San Juan,72127,FALSE,FALSE,America/Puerto_Rico
912,18.44503,-66.05995,San Juan,PR,Puerto Rico,TRUE,,6233,6489.4,72127,San Juan,"{""72127"": 100}",San Juan,72127,FALSE,FALSE,America/Puerto_Rico
913,18.45024,-66.04275,San Juan,PR,Puerto Rico,TRUE,,7460,8890.6,72127,San Juan,"{""72127"": 100}",San Juan,72127,FALSE,FALSE,America/Puerto_Rico
915,18.43673,-66.04576,San Juan,PR,Puerto Rico,TRUE,,25585,7047.2,72127,San Juan,"{""72127"": 100}",San Juan,72127,FALSE,FALSE,America/Puerto_Rico
917,18.4208,-66.04989,San Juan,PR,Puerto Rico,TRUE,,18504,5233,72127,San Juan,"{""72127"": 100}",San Juan,72127,FALSE,FALSE,America/Puerto_Rico
918,18.42139,-66.06774,San Juan,PR,Puerto Rico,TRUE,,15393,2203,72127,San Juan,"{""72127"": 100}",San Juan,72127,FALSE,FALSE,America/Puerto_Rico
920,18.41904,-66.09023,San Juan,PR,Puerto Rico,TRUE,,17249,1845,72127,San Juan,"{""72127"": 100}",San Juan,72127,FALSE,FALSE,America/Puerto_Rico
921,18.39206,-66.0871,San Juan,PR,Puerto Rico,TRUE,,32958,4146.6,72127,San Juan,"{""72127"": 99.88, ""72061"": 0.12}",San Juan|Guaynabo,72127|72061,FALSE,FALSE,America/Puerto_Rico
923,18.41146,-66.03715,San Juan,PR,Puerto Rico,TRUE,,25915,4978,72127,San Juan,"{""72127"": 100}",San Juan,72127,FALSE,FALSE,America/Puerto_Rico
924,18.39987,-66.01344,San Juan,PR,Puerto Rico,TRUE,,48016,3975.6,72127,San Juan,"{""72127"": 96.56, ""72031"": 3.44}",San Juan|Carolina,72127|72031,FALSE,FALSE,America/Puerto_Rico
925,18.40028,-66.05058,San Juan,PR,Puerto Rico,TRUE,,6128,5308.4,72127,San Juan,"{""72127"": 100}",San Juan,72127,FALSE,FALSE,America/Puerto_Rico
926,18.34691,-66.05434,San Juan,PR,Puerto Rico,TRUE,,94560,1572.8,72127,San Juan,"{""72127"": 83.48, ""72139"": 15.69, ""72061"": 0.83}",San Juan|Trujillo Alto|Guaynabo,72127|72139|72061,FALSE,FALSE,America/Puerto_Rico
927,18.38884,-66.07149,San Juan,PR,Puerto Rico,TRUE,,13662,2177.1,72127,San Juan,"{""72127"": 100}",San Juan,72127,FALSE,FALSE,America/Puerto_Rico
934,18.41372,-66.11998,Fort Buchanan,PR,Puerto Rico,TRUE,,124,33.8,72061,Guaynabo,"{""72061"": 69.16, ""72021"": 30.84}",Guaynabo|Bayamón,72061|72021,FALSE,FALSE,America/Puerto_Rico
949,18.43166,-66.21349,Toa Baja,PR,Puerto Rico,TRUE,,69785,1309.2,72137,Toa Baja,"{""72137"": 96.11, ""72033"": 2.93, ""72135"": 0.96}",Toa Baja|Cataño|Toa Alta,72137|72033|72135,FALSE,FALSE,America/Puerto_Rico
950,18.46201,-66.23917,Toa Baja,PR,Puerto Rico,TRUE,,0,0,72051,Dorado,"{""72051"": 99.69, ""72137"": 0.31}",Dorado|Toa Baja,72051|72137,FALSE,FALSE,America/Puerto_Rico
951,18.43175,-66.25628,Toa Baja,PR,Puerto Rico,TRUE,,376,135.5,72137,Toa Baja,"{""72137"": 100}",Toa Baja,72137,FALSE,FALSE,America/Puerto_Rico
952,18.42874,-66.18897,Sabana Seca,PR,Puerto Rico,TRUE,,7727,1345.6,72137,Toa Baja,"{""72137"": 100}",Toa Baja,72137,FALSE,FALSE,America/Puerto_Rico
953,18.36319,-66.24764,Toa Alta,PR,Puerto Rico,TRUE,,67606,978.1,72135,Toa Alta,"{""72135"": 98.44, ""72047"": 0.79, ""72137"": 0.77}",Toa Alta|Corozal|Toa Baja,72135|72047|72137,FALSE,FALSE,America/Puerto_Rico
956,18.32121,-66.17185,Bayamon,PR,Puerto Rico,TRUE,,64939,914.4,72021,Bayamón,"{""72021"": 97.91, ""72007"": 1.4, ""72135"": 0.69}",Bayamón|Aguas Buenas|Toa Alta,72021|72007|72135,FALSE,FALSE,America/Puerto_Rico
957,18.36696,-66.18857,Bayamon,PR,Puerto Rico,TRUE,,41162,3661.1,72021,Bayamón,"{""72021"": 93.15, ""72135"": 6.85}",Bayamón|Toa Alta,72021|72135,FALSE,FALSE,America/Puerto_Rico
959,18.3852,-66.15583,Bayamon,PR,Puerto Rico,TRUE,,47783,3027.9,72021,Bayamón,"{""72021"": 98.67, ""72061"": 0.9, ""72137"": 0.27, ""72135"": 0.16}",Bayamón|Guaynabo|Toa Baja|Toa Alta,72021|72061|72137|72135,FALSE,FALSE,America/Puerto_Rico
960,18.41674,-66.14365,Bayamon,PR,Puerto Rico,TRUE,,3380,930.5,72021,Bayamón,"{""72021"": 100}",Bayamón,72021,FALSE,FALSE,America/Puerto_Rico
961,18.40987,-66.16415,Bayamon,PR,Puerto Rico,TRUE,,30842,2232.9,72021,Bayamón,"{""72021"": 99.0, ""72033"": 1.0}",Bayamón|Cataño,72021|72033,FALSE,FALSE,America/Puerto_Rico
962,18.43514,-66.13949,Catano,PR,Puerto Rico,TRUE,,20066,1608.7,72033,Cataño,"{""72033"": 85.91, ""72061"": 13.72, ""72021"": 0.26, ""72137"": 0.11}",Cataño|Guaynabo|Bayamón|Toa Baja,72033|72061|72021|72137,FALSE,FALSE,America/Puerto_Rico
965,18.42853,-66.11175,Guaynabo,PR,Puerto Rico,TRUE,,5392,2299.9,72061,Guaynabo,"{""72061"": 100}",Guaynabo,72061,FALSE,FALSE,America/Puerto_Rico
966,18.39784,-66.11394,Guaynabo,PR,Puerto Rico,TRUE,,15737,2411.1,72061,Guaynabo,"{""72061"": 85.34, ""72127"": 8.07, ""72021"": 6.59}",Guaynabo|San Juan|Bayamón,72061|72127|72021,FALSE,FALSE,America/Puerto_Rico
968,18.40609,-66.10123,Guaynabo,PR,Puerto Rico,TRUE,,3683,3119.1,72061,Guaynabo,"{""72061"": 99.73, ""72127"": 0.27}",Guaynabo|San Juan,72061|72127,FALSE,FALSE,America/Puerto_Rico
969,18.36696,-66.11,Guaynabo,PR,Puerto Rico,TRUE,,42144,3229.8,72061,Guaynabo,"{""72061"": 85.08, ""72127"": 11.09, ""72021"": 3.83}",Guaynabo|San Juan|Bayamón,72061|72127|72021,FALSE,FALSE,America/Puerto_Rico
971,18.32067,-66.11751,Guaynabo,PR,Puerto Rico,TRUE,,27048,651.6,72061,Guaynabo,"{""72061"": 100}",Guaynabo,72061,FALSE,FALSE,America/Puerto_Rico
976,18.33903,-65.99286,Trujillo Alto,PR,Puerto Rico,TRUE,,61869,1370.1,72139,Trujillo Alto,"{""72139"": 94.61, ""72031"": 2.56, ""72127"": 2.13, ""72063"": 0.7}",Trujillo Alto|Carolina|San Juan|Gurabo,72139|72031|72127|72063,FALSE,FALSE,America/Puerto_Rico
979,18.43734,-66.0089,Carolina,PR,Puerto Rico,TRUE,,17313,1719,72031,Carolina,"{""72031"": 100}",Carolina,72031,FALSE,FALSE,America/Puerto_Rico
982,18.40961,-65.99143,Carolina,PR,Puerto Rico,TRUE,,14151,3787.2,72031,Carolina,"{""72031"": 100}",Carolina,72031,FALSE,FALSE,America/Puerto_Rico
983,18.41788,-65.98104,Carolina,PR,Puerto Rico,TRUE,,32747,2925.9,72031,Carolina,"{""72031"": 100}",Carolina,72031,FALSE,FALSE,America/Puerto_Rico
985,18.40628,-65.94767,Carolina,PR,Puerto Rico,TRUE,,32261,1348.8,72031,Carolina,"{""72031"": 100}",Carolina,72031,FALSE,FALSE,America/Puerto_Rico
987,18.34115,-65.94257,Carolina,PR,Puerto Rico,TRUE,,54950,818.2,72031,Carolina,"{""72031"": 99.83, ""72139"": 0.17}",Carolina|Trujillo Alto,72031|72139,FALSE,FALSE,America/Puerto_Rico
1001,42.06262,-72.62521,Agawam,MA,Massachusetts,TRUE,,16088,550.1,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1002,42.37633,-72.46462,Amherst,MA,Massachusetts,TRUE,,27323,198.1,25015,Hampshire,"{""25015"": 93.26, ""25011"": 6.74}",Hampshire|Franklin,25015|25011,FALSE,FALSE,America/New_York
1003,42.39135,-72.52327,Amherst,MA,Massachusetts,TRUE,,13711,6583.4,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1005,42.42117,-72.10655,Barre,MA,Massachusetts,TRUE,,4947,44.2,25027,Worcester,"{""25027"": 100}",Worcester,25027,FALSE,FALSE,America/New_York
1007,42.28163,-72.40009,Belchertown,MA,Massachusetts,TRUE,,15304,107.7,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1008,42.18234,-72.95819,Blandford,MA,Massachusetts,TRUE,,1171,7.4,25013,Hampden,"{""25013"": 94.36, ""25003"": 5.64}",Hampden|Berkshire,25013|25003,FALSE,FALSE,America/New_York
1009,42.21133,-72.34189,Bondsville,MA,Massachusetts,TRUE,,800,442.8,25013,Hampden,"{""25013"": 99.06, ""25015"": 0.94}",Hampden|Hampshire,25013|25015,FALSE,FALSE,America/New_York
1010,42.12904,-72.20597,Brimfield,MA,Massachusetts,TRUE,,3703,40.6,25013,Hampden,"{""25013"": 98.73, ""25027"": 1.27}",Hampden|Worcester,25013|25027,FALSE,FALSE,America/New_York
1011,42.30233,-72.96448,Chester,MA,Massachusetts,TRUE,,1332,15.7,25013,Hampden,"{""25013"": 77.54, ""25015"": 22.46}",Hampden|Hampshire,25013|25015,FALSE,FALSE,America/New_York
1012,42.38495,-72.84675,Chesterfield,MA,Massachusetts,TRUE,,503,16.1,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1013,42.16059,-72.60788,Chicopee,MA,Massachusetts,TRUE,,22709,1549.1,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1020,42.17618,-72.56538,Chicopee,MA,Massachusetts,TRUE,,30704,951.4,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1022,42.19721,-72.54249,Chicopee,MA,Massachusetts,TRUE,,2235,179.2,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1026,42.46858,-72.92296,Cummington,MA,Massachusetts,TRUE,,1071,14.7,25015,Hampshire,"{""25015"": 90.46, ""25003"": 9.54}",Hampshire|Berkshire,25015|25003,FALSE,FALSE,America/New_York
1027,42.29506,-72.74303,Easthampton,MA,Massachusetts,TRUE,,17708,168.5,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1028,42.05967,-72.49899,East Longmeadow,MA,Massachusetts,TRUE,,16386,489.6,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1029,42.19402,-73.05067,East Otis,MA,Massachusetts,TRUE,,511,19.8,25003,Berkshire,"{""25003"": 100}",Berkshire,25003,FALSE,FALSE,America/New_York
1030,42.06869,-72.67967,Feeding Hills,MA,Massachusetts,TRUE,,12627,405.3,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1031,42.32782,-72.19191,Gilbertville,MA,Massachusetts,TRUE,,1577,90.4,25027,Worcester,"{""25027"": 100}",Worcester,25027,FALSE,FALSE,America/New_York
1032,42.45313,-72.81965,Goshen,MA,Massachusetts,TRUE,,430,17.2,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1033,42.26082,-72.50361,Granby,MA,Massachusetts,TRUE,,6110,84.8,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1034,42.0826,-72.95611,Granville,MA,Massachusetts,TRUE,,1991,11.3,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1035,42.35563,-72.5692,Hadley,MA,Massachusetts,TRUE,,5293,88.5,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1036,42.0638,-72.4157,Hampden,MA,Massachusetts,TRUE,,4991,98.3,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1037,42.37063,-72.19466,Hardwick,MA,Massachusetts,TRUE,,692,14.4,25027,Worcester,"{""25027"": 100}",Worcester,25027,FALSE,FALSE,America/New_York
1038,42.38466,-72.60559,Hatfield,MA,Massachusetts,TRUE,,2601,108.9,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1039,42.41049,-72.69188,Haydenville,MA,Massachusetts,TRUE,,1675,39.2,25015,Hampshire,"{""25015"": 58.67, ""25011"": 41.33}",Hampshire|Franklin,25015|25011,FALSE,FALSE,America/New_York
1040,42.21251,-72.64109,Holyoke,MA,Massachusetts,TRUE,,38480,702,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1050,42.29092,-72.87526,Huntington,MA,Massachusetts,TRUE,,2593,24.2,25015,Hampshire,"{""25015"": 68.98, ""25013"": 31.02}",Hampshire|Hampden,25015|25013,FALSE,FALSE,America/New_York
1053,42.35205,-72.71032,Leeds,MA,Massachusetts,TRUE,,2016,135.4,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1054,42.47381,-72.48768,Leverett,MA,Massachusetts,TRUE,,1794,30.2,25011,Franklin,"{""25011"": 100}",Franklin,25011,FALSE,FALSE,America/New_York
1056,42.19211,-72.45805,Ludlow,MA,Massachusetts,TRUE,,21050,298.9,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1057,42.09118,-72.32392,Monson,MA,Massachusetts,TRUE,,8288,71.8,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1060,42.32218,-72.63126,Northampton,MA,Massachusetts,TRUE,,14975,532,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1062,42.32146,-72.69244,Florence,MA,Massachusetts,TRUE,,9835,217.6,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1063,42.31962,-72.63951,Northampton,MA,Massachusetts,TRUE,,2532,11063,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1066,42.40742,-72.64032,North Hatfield,MA,Massachusetts,TRUE,,51,15.6,25015,Hampshire,"{""25015"": 99.4, ""25011"": 0.6}",Hampshire|Franklin,25015|25011,FALSE,FALSE,America/New_York
1068,42.35125,-72.04776,Oakham,MA,Massachusetts,TRUE,,1621,28.8,25027,Worcester,"{""25027"": 100}",Worcester,25027,FALSE,FALSE,America/New_York
1069,42.18798,-72.30578,Palmer,MA,Massachusetts,TRUE,,8870,122.1,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1070,42.51958,-72.92504,Plainfield,MA,Massachusetts,TRUE,,621,12.1,25015,Hampshire,"{""25015"": 99.4, ""25003"": 0.6}",Hampshire|Berkshire,25015|25003,FALSE,FALSE,America/New_York
1071,42.16029,-72.8598,Russell,MA,Massachusetts,TRUE,,1280,31.5,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1072,42.46327,-72.41893,Shutesbury,MA,Massachusetts,TRUE,,1374,27.8,25011,Franklin,"{""25011"": 100}",Franklin,25011,FALSE,FALSE,America/New_York
1073,42.23084,-72.73856,Southampton,MA,Massachusetts,TRUE,,6158,84.5,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1074,42.3837,-72.10021,South Barre,MA,Massachusetts,TRUE,,584,869.5,25027,Worcester,"{""25027"": 100}",Worcester,25027,FALSE,FALSE,America/New_York
1075,42.25672,-72.57928,South Hadley,MA,Massachusetts,TRUE,,18051,393.3,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1077,42.05441,-72.77851,Southwick,MA,Massachusetts,TRUE,,9292,116.3,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1079,42.18508,-72.33406,Thorndike,MA,Massachusetts,TRUE,,521,125.1,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1080,42.18228,-72.36515,Three Rivers,MA,Massachusetts,TRUE,,2276,527.7,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1081,42.06232,-72.23085,Wales,MA,Massachusetts,TRUE,,1748,46.6,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
